Faction,Unit,Tier,Models,BSData_pts,MFM_pts,Difference,Status,Row_type,Wargear_note
Adeptus Custodes,Sagittarum Custodians,standard,5,225,225,0,unchanged,unit,
Adeptus Custodes,Shield-Captain,standard,1,120,110,-10,decreased,unit,
Adeptus Custodes,Shield-Captain In Allarus Terminator Armour,standard,1,130,130,0,unchanged,unit,
Adeptus Custodes,Shield-Captain On Dawneagle Jetbike,standard,1,150,140,-10,decreased,unit,
Adeptus Custodes,Telemon Heavy Dreadnought,1st-2nd,1,225,225,0,unchanged,unit,
Adeptus Custodes,Telemon Heavy Dreadnought,3rd+,1,245,245,0,unchanged,unit,
Adeptus Custodes,Trajann Valoris,standard,1,140,135,-5,decreased,unit,
Adeptus Custodes,Valerian,standard,1,110,110,0,unchanged,unit,
Adeptus Custodes,Venatari Custodians,standard,3,165,160,-5,decreased,unit,
Adeptus Custodes,Venatari Custodians,standard,6,330,320,-10,decreased,unit,
Adeptus Custodes,Venerable Contemptor Dreadnought,1st-2nd,1,170,170,0,unchanged,unit,
Adeptus Custodes,Venerable Contemptor Dreadnought,3rd+,1,185,185,0,unchanged,unit,
Adeptus Custodes,Venerable Land Raider,1st-2nd,1,220,220,0,unchanged,unit,
Adeptus Custodes,Venerable Land Raider,3rd+,1,240,240,0,unchanged,unit,
Adeptus Custodes,Vertus Praetors,standard,2,150,145,-5,decreased,unit,
Adeptus Custodes,Vertus Praetors,standard,3,225,215,-10,decreased,unit,
Adeptus Custodes,Vigilators,standard,4,45,50,5,increased,unit,
Adeptus Custodes,Vigilators,standard,5,55,55,0,unchanged,unit,
Adeptus Custodes,Vigilators,standard,9,90,90,0,unchanged,unit,
Adeptus Custodes,Vigilators,standard,10,100,100,0,unchanged,unit,
Adeptus Custodes,Witchseekers,standard,4,45,50,5,increased,unit,
Adeptus Custodes,Witchseekers,standard,5,55,55,0,unchanged,unit,
Adeptus Custodes,Witchseekers,standard,9,90,90,0,unchanged,unit,
Adeptus Custodes,Witchseekers,standard,10,100,100,0,unchanged,unit,
Adeptus Mechanicus,Archaeopter Fusilave,standard,1,160,160,0,unchanged,unit,
Adeptus Mechanicus,Archaeopter Stratoraptor,standard,1,185,185,0,unchanged,unit,
Adeptus Mechanicus,Archaeopter Transvector,standard,1,150,145,-5,decreased,unit,
Adeptus Mechanicus,Belisarius Cawl,standard,1,210,220,10,increased,unit,
Adeptus Mechanicus,Corpuscarii Electro-Priests,standard,5,65,65,0,unchanged,unit,
Adeptus Mechanicus,Cybernetica Datasmith,standard,1,35,25,-10,decreased,unit,
Adeptus Mechanicus,Fulgurite Electro-Priests,standard,5,70,70,0,unchanged,unit,
Adeptus Mechanicus,Fulgurite Electro-Priests,standard,10,140,140,0,unchanged,unit,
Adeptus Mechanicus,Hastarii Exterminators,1st-2nd,5,135,115,-20,decreased,unit,
Adeptus Mechanicus,Hastarii Exterminators,3rd+,5,150,130,-20,decreased,unit,
Adeptus Mechanicus,Hastarii Fusiliers,1st-2nd,5,145,115,-30,decreased,unit,
Adeptus Mechanicus,Hastarii Fusiliers,3rd+,5,160,130,-30,decreased,unit,
Adeptus Mechanicus,Ironstrider Ballistarii,1st-2nd,1,0,80,80,increased,unit,
Adeptus Mechanicus,Ironstrider Ballistarii,1st-2nd,2,0,160,160,increased,unit,
Adeptus Mechanicus,Ironstrider Ballistarii,1st-2nd,3,0,240,240,increased,unit,
Adeptus Mechanicus,Ironstrider Ballistarii,3rd+,1,15,95,80,increased,unit,
Adeptus Mechanicus,Ironstrider Ballistarii,3rd+,2,15,175,160,increased,unit,
Adeptus Mechanicus,Ironstrider Ballistarii,3rd+,3,15,255,240,increased,unit,
Adeptus Mechanicus,Ironstrider Ballistarii with Twin cognis lascannon,,,,10,,,wargear,per Twin cognis lascannon
Adeptus Mechanicus,Kastelan Robots,1st-2nd,2,180,160,-20,decreased,unit,
Adeptus Mechanicus,Kastelan Robots,1st-2nd,4,360,320,-40,decreased,unit,
Adeptus Mechanicus,Kastelan Robots,3rd+,2,200,180,-20,decreased,unit,
Adeptus Mechanicus,Kastelan Robots,3rd+,4,380,340,-40,decreased,unit,
Adeptus Mechanicus,Kataphron Breachers,standard,3,160,150,-10,decreased,unit,
Adeptus Mechanicus,Kataphron Breachers,standard,6,320,320,0,unchanged,unit,
Adeptus Mechanicus,Kataphron Destroyers,standard,3,105,100,-5,decreased,unit,
Adeptus Mechanicus,Kataphron Destroyers,standard,6,210,210,0,unchanged,unit,
Adeptus Mechanicus,Onager Dunecrawler,standard,1,155,155,0,unchanged,unit,
Adeptus Mechanicus,Pteraxii Skystalkers,1st-2nd,5,75,80,5,increased,unit,
Adeptus Mechanicus,Pteraxii Skystalkers,1st-2nd,10,150,150,0,unchanged,unit,
Adeptus Mechanicus,Pteraxii Skystalkers,3rd+,5,85,90,5,increased,unit,
Adeptus Mechanicus,Pteraxii Skystalkers,3rd+,10,160,160,0,unchanged,unit,
Adeptus Mechanicus,Pteraxii Sterylizors,1st-2nd,5,80,80,0,unchanged,unit,
Adeptus Mechanicus,Pteraxii Sterylizors,1st-2nd,10,160,160,0,unchanged,unit,
Adeptus Mechanicus,Pteraxii Sterylizors,3rd+,5,90,90,0,unchanged,unit,
Adeptus Mechanicus,Pteraxii Sterylizors,3rd+,10,170,170,0,unchanged,unit,
Adeptus Mechanicus,Serberys Raiders,standard,3,60,60,0,unchanged,unit,
Adeptus Mechanicus,Serberys Raiders,standard,6,120,120,0,unchanged,unit,
Adeptus Mechanicus,Serberys Sulphurhounds,standard,3,55,55,0,unchanged,unit,
Adeptus Mechanicus,Serberys Sulphurhounds,standard,6,110,110,0,unchanged,unit,
Adeptus Mechanicus,Servitor Battleclade,standard,9,60,65,5,increased,unit,
Adeptus Mechanicus,Sicarian Infiltrators,1st-2nd,5,75,75,0,unchanged,unit,
Adeptus Mechanicus,Sicarian Infiltrators,1st-2nd,10,155,155,0,unchanged,unit,
Adeptus Mechanicus,Sicarian Infiltrators,3rd+,5,85,85,0,unchanged,unit,
Adeptus Mechanicus,Sicarian Infiltrators,3rd+,10,165,165,0,unchanged,unit,
Adeptus Mechanicus,Sicarian Ruststalkers,1st-2nd,5,80,75,-5,decreased,unit,
Adeptus Mechanicus,Sicarian Ruststalkers,1st-2nd,10,165,160,-5,decreased,unit,
Adeptus Mechanicus,Sicarian Ruststalkers,3rd+,5,90,85,-5,decreased,unit,
Adeptus Mechanicus,Sicarian Ruststalkers,3rd+,10,175,170,-5,decreased,unit,
Adeptus Mechanicus,Skitarii Marshal,standard,1,35,35,0,unchanged,unit,
Adeptus Mechanicus,Skitarii Rangers,standard,10,85,85,0,unchanged,unit,
Adeptus Mechanicus,Skitarii Vanguard,standard,10,95,90,-5,decreased,unit,
Adeptus Mechanicus,Skorpius Disintegrator,standard,1,165,160,-5,decreased,unit,
Adeptus Mechanicus,Skorpius Disintegrator with Ferrumite cannon,,,,10,,,wargear,per Ferrumite cannon
Adeptus Mechanicus,Skorpius Dunerider,standard,1,85,85,0,unchanged,unit,
Adeptus Mechanicus,Sydonian Dragoons With Radium Jezzails,standard,1,55,55,0,unchanged,unit,
Adeptus Mechanicus,Sydonian Dragoons With Radium Jezzails,standard,2,100,100,0,unchanged,unit,
Adeptus Mechanicus,Sydonian Dragoons With Radium Jezzails,standard,3,150,150,0,unchanged,unit,
Adeptus Mechanicus,Sydonian Dragoons With Taser Lances,standard,1,0,60,60,increased,unit,
Adeptus Mechanicus,Sydonian Dragoons With Taser Lances,standard,2,0,120,120,increased,unit,
Adeptus Mechanicus,Sydonian Dragoons With Taser Lances,standard,3,0,170,170,increased,unit,
Adeptus Mechanicus,Sydonian Skatros,standard,1,50,50,0,unchanged,unit,
Adeptus Mechanicus,Tech-Priest Dominus,standard,1,65,65,0,unchanged,unit,
Adeptus Mechanicus,Tech-Priest Enginseer,standard,1,55,55,0,unchanged,unit,
Adeptus Mechanicus,Tech-Priest Manipulus,standard,1,60,60,0,unchanged,unit,
Adeptus Mechanicus,Technoarcheologist,standard,1,45,45,0,unchanged,unit,
Adeptus Mechanicus,Thulia Ghuld,standard,1,210,180,-30,decreased,unit,
Aeldari,Asurmen,standard,1,135,135,0,unchanged,unit,
Aeldari,Autarch,standard,1,85,85,0,unchanged,unit,
Aeldari,Autarch Wayleaper,standard,1,80,80,0,unchanged,unit,
Aeldari,Avatar Of Khaine,standard,1,280,265,-15,decreased,unit,
Aeldari,Baharroth,standard,1,115,125,10,increased,unit,
Aeldari,Corsair Skyreavers,1st-2nd,5,75,80,5,increased,unit,
Aeldari,Corsair Skyreavers,1st-2nd,10,150,150,0,unchanged,unit,
Aeldari,Corsair Skyreavers,3rd+,5,85,90,5,increased,unit,
Aeldari,Corsair Skyreavers,3rd+,10,160,160,0,unchanged,unit,
Aeldari,Corsair Voidreavers,standard,5,65,65,0,unchanged,unit,
Aeldari,Corsair Voidreavers,standard,10,110,110,0,unchanged,unit,
Aeldari,Corsair Voidscarred,standard,5,80,80,0,unchanged,unit,
Aeldari,Corsair Voidscarred,standard,10,160,160,0,unchanged,unit,
Aeldari,Crimson Hunter,standard,1,160,160,0,unchanged,unit,
Aeldari,D-Cannon Platform,1st-2nd,1,125,110,-15,decreased,unit,
Aeldari,D-Cannon Platform,3rd+,1,140,125,-15,decreased,unit,
Aeldari,Dark Reapers,standard,5,90,100,10,increased,unit,
Aeldari,Dark Reapers,standard,10,195,210,15,increased,unit,
Aeldari,Death Jester,standard,1,90,80,-10,decreased,unit,
Aeldari,Dire Avengers,standard,5,75,75,0,unchanged,unit,
Aeldari,Dire Avengers,standard,10,150,150,0,unchanged,unit,
Aeldari,Eldrad Ulthran,standard,1,120,130,10,increased,unit,
Aeldari,Falcon,standard,1,130,130,0,unchanged,unit,
Aeldari,Farseer,standard,1,70,70,0,unchanged,unit,
Aeldari,Farseer Skyrunner,standard,1,80,70,-10,decreased,unit,
Aeldari,Fire Dragons,1st-2nd,5,120,120,0,unchanged,unit,
Aeldari,Fire Dragons,1st-2nd,10,240,240,0,unchanged,unit,
Aeldari,Fire Dragons,3rd+,5,130,130,0,unchanged,unit,
Aeldari,Fire Dragons,3rd+,10,250,250,0,unchanged,unit,
Aeldari,Fire Prism,standard,1,150,150,0,unchanged,unit,
Aeldari,Fuegan,standard,1,120,130,10,increased,unit,
Aeldari,Guardian Defenders,standard,11,100,90,-10,decreased,unit,
Aeldari,Hemlock Wraithfighter,standard,1,155,155,0,unchanged,unit,
Aeldari,Howling Banshees,standard,5,95,85,-10,decreased,unit,
Aeldari,Howling Banshees,standard,10,190,165,-25,decreased,unit,
Aeldari,Jain Zar,standard,1,120,105,-15,decreased,unit,
Aeldari,Kharseth,standard,1,95,85,-10,decreased,unit,
Aeldari,Lhykhis,standard,1,135,135,0,unchanged,unit,
Aeldari,Maugan Ra,standard,1,100,100,0,unchanged,unit,
Aeldari,Night Spinner,1st-2nd,1,190,170,-20,decreased,unit,
Aeldari,Night Spinner,3rd+,1,210,190,-20,decreased,unit,
Aeldari,Phantom Titan,standard,1,2100,2100,0,unchanged,unit,
Aeldari,Prince Yriel,standard,1,95,95,0,unchanged,unit,
Aeldari,Rangers,standard,5,55,60,5,increased,unit,
Aeldari,Rangers,standard,10,110,110,0,unchanged,unit,
Aeldari,Revenant Titan,standard,1,1100,1100,0,unchanged,unit,
Aeldari,Shadow Weaver Platform,standard,1,75,60,-15,decreased,unit,
Aeldari,Shadowseer,standard,1,60,60,0,unchanged,unit,
Aeldari,Shining Spears,standard,3,110,105,-5,decreased,unit,
Aeldari,Shining Spears,standard,6,220,210,-10,decreased,unit,
Aeldari,Shroud Runners,standard,3,80,95,15,increased,unit,
Aeldari,Shroud Runners,standard,6,160,175,15,increased,unit,
Aeldari,Skyweavers,standard,2,95,105,10,increased,unit,
Aeldari,Skyweavers,standard,4,190,210,20,increased,unit,
Aeldari,Solitaire,standard,1,115,115,0,unchanged,unit,
Aeldari,Spiritseer,standard,1,65,55,-10,decreased,unit,
Aeldari,Starfangs,standard,1,,70,,unmatched,unit,
Aeldari,Starfangs,standard,2,,140,,unmatched,unit,
Aeldari,Storm Guardians,standard,11,110,110,0,unchanged,unit,
Aeldari,Striking Scorpions,standard,5,85,75,-10,decreased,unit,
Aeldari,Striking Scorpions,standard,10,150,145,-5,decreased,unit,
Aeldari,Swooping Hawks,1st-2nd,5,95,100,5,increased,unit,
Aeldari,Swooping Hawks,1st-2nd,10,190,190,0,unchanged,unit,
Aeldari,Swooping Hawks,3rd+,5,110,115,5,increased,unit,
Aeldari,Swooping Hawks,3rd+,10,205,205,0,unchanged,unit,
Aeldari,The Visarch,standard,1,90,90,0,unchanged,unit,
Aeldari,The Yncarne,standard,1,260,245,-15,decreased,unit,
Aeldari,Troupe,standard,5,85,85,0,unchanged,unit,
Aeldari,Troupe,standard,6,100,100,0,unchanged,unit,
Aeldari,Troupe,standard,11,85,190,105,increased,unit,
Aeldari,Troupe,standard,12,205,205,0,unchanged,unit,
Aeldari,Troupe Master,standard,1,75,75,0,unchanged,unit,
Aeldari,Vibro Cannon Platform,standard,1,60,60,0,unchanged,unit,
Aeldari,Voidweaver,3rd+,5,125,90,-35,decreased,unit,
Aeldari,Voidweaver,3rd+,10,125,170,45,increased,unit,
Aeldari,Voidweaver,standard,1,125,115,-10,decreased,unit,
Aeldari,Vyper,standard,1,,75,,unmatched,unit,
Aeldari,Vyper,standard,2,,140,,unmatched,unit,
Aeldari,War Walkers,standard,1,,85,,unmatched,unit,
Aeldari,War Walkers,standard,2,,170,,unmatched,unit,
Aeldari,Warlock,standard,1,45,45,0,unchanged,unit,
Aeldari,Warlock Conclave,standard,2,55,55,0,unchanged,unit,
Aeldari,Warlock Conclave,standard,4,130,120,-10,decreased,unit,
Aeldari,Warlock Skyrunners,standard,1,45,45,0,unchanged,unit,
Aeldari,Warlock Skyrunners,standard,2,90,90,0,unchanged,unit,
Aeldari,Warp Spiders,1st-2nd,5,105,115,10,increased,unit,
Aeldari,Warp Spiders,1st-2nd,10,190,200,10,increased,unit,
Aeldari,Warp Spiders,3rd+,5,120,130,10,increased,unit,
Aeldari,Warp Spiders,3rd+,10,205,215,10,increased,unit,
Aeldari,Wave Serpent,standard,1,125,125,0,unchanged,unit,
Aeldari,Windriders,standard,3,80,80,0,unchanged,unit,
Aeldari,Windriders,standard,6,80,160,80,increased,unit,
Aeldari,Wraithblades,standard,5,150,140,-10,decreased,unit,
Aeldari,Wraithguard,standard,5,160,145,-15,decreased,unit,
Aeldari,Wraithknight,1st-2nd,1,435,415,-20,decreased,unit,
Aeldari,Wraithknight,3rd+,1,455,435,-20,decreased,unit,
Aeldari,Wraithknight with Heavy wraithcannon,,,,10,,,wargear,per Heavy wraithcannon
Aeldari,Wraithknight With Ghostglaive,1st-2nd,1,420,405,-15,decreased,unit,
Aeldari,Wraithknight With Ghostglaive,3rd+,1,440,425,-15,decreased,unit,
Aeldari,Wraithlord,standard,1,130,125,-5,decreased,unit,
Aeldari,Ynnari Archon,standard,1,85,85,0,unchanged,unit,
Aeldari,Ynnari Incubi,1st-2nd,1,85,80,-5,decreased,unit,
Aeldari,Ynnari Incubi,1st-2nd,5,85,80,-5,decreased,unit,
Aeldari,Ynnari Kabalite Warriors,standard,10,110,110,0,unchanged,unit,
Aeldari,Ynnari Raider,standard,1,80,80,0,unchanged,unit,
Aeldari,Ynnari Reavers,standard,3,65,65,0,unchanged,unit,
Aeldari,Ynnari Reavers,standard,6,120,120,0,unchanged,unit,
Aeldari,Ynnari Succubus,standard,1,45,45,0,unchanged,unit,
Aeldari,Ynnari Venom,standard,1,70,70,0,unchanged,unit,
Aeldari,Ynnari Wyches,standard,10,90,90,0,unchanged,unit,
Aeldari,Yvraine,standard,1,100,100,0,unchanged,unit,
Astra Militarum,Aegis Defence Line,standard,1,145,145,0,unchanged,unit,
Astra Militarum,Armoured Sentinels,standard,1,,65,,unmatched,unit,
Astra Militarum,Armoured Sentinels,standard,2,,120,,unmatched,unit,
Astra Militarum,Artillery Team,standard,1,95,95,0,unchanged,unit,
Astra Militarum,Attilan Rough Riders,1st-2nd,5,60,60,0,unchanged,unit,
Astra Militarum,Attilan Rough Riders,1st-2nd,10,120,120,0,unchanged,unit,
Astra Militarum,Attilan Rough Riders,3rd+,5,65,65,0,unchanged,unit,
Astra Militarum,Attilan Rough Riders,3rd+,10,125,125,0,unchanged,unit,
Astra Militarum,Avenger Strike Fighter,standard,1,130,130,0,unchanged,unit,
Astra Militarum,Baneblade,1st-2nd,1,450,450,0,unchanged,unit,
Astra Militarum,Baneblade,3rd+,1,470,470,0,unchanged,unit,
Astra Militarum,Banehammer,1st-2nd,1,420,420,0,unchanged,unit,
Astra Militarum,Banehammer,3rd+,1,440,440,0,unchanged,unit,
Astra Militarum,Banesword,1st-2nd,1,450,450,0,unchanged,unit,
Astra Militarum,Banesword,3rd+,1,470,470,0,unchanged,unit,
Astra Militarum,Basilisk,1st-2nd,1,140,115,-25,decreased,unit,
Astra Militarum,Basilisk,3rd+,1,160,135,-25,decreased,unit,
Astra Militarum,Bullgryn Squad,1st-2nd,3,100,90,-10,decreased,unit,
Astra Militarum,Bullgryn Squad,1st-2nd,6,200,200,0,unchanged,unit,
Astra Militarum,Bullgryn Squad,3rd+,3,115,105,-10,decreased,unit,
Astra Militarum,Bullgryn Squad,3rd+,6,215,215,0,unchanged,unit,
Astra Militarum,Cadian Castellan,standard,1,55,55,0,unchanged,unit,
Astra Militarum,Cadian Command Squad,standard,5,65,65,0,unchanged,unit,
Astra Militarum,Cadian Heavy Weapons Squad,standard,3,65,65,0,unchanged,unit,
Astra Militarum,Cadian Recon Squad,standard,10,80,80,0,unchanged,unit,
Astra Militarum,Cadian Shock Troops,standard,10,65,75,10,increased,unit,
Astra Militarum,Cadian Shock Troops,standard,20,120,145,25,increased,unit,
Astra Militarum,Catachan Command Squad,standard,5,65,60,-5,decreased,unit,
Astra Militarum,Catachan Heavy Weapons Squad,standard,3,65,65,0,unchanged,unit,
Astra Militarum,Catachan Jungle Fighters,standard,10,65,75,10,increased,unit,
Astra Militarum,Catachan Jungle Fighters,standard,20,120,145,25,increased,unit,
Astra Militarum,Centaur Rsv,standard,1,85,75,-10,decreased,unit,
Astra Militarum,Chimera,standard,1,85,85,0,unchanged,unit,
Astra Militarum,Commissar,standard,1,30,30,0,unchanged,unit,
Astra Militarum,Commissar Graves,standard,1,110,125,15,increased,unit,
Astra Militarum,Commissar Graves On Foot,standard,1,65,65,0,unchanged,unit,
Astra Militarum,Commissar Yarrick,standard,1,150,130,-20,decreased,unit,
Astra Militarum,Cyclops Demolition Vehicle,1st-2nd,1,25,40,15,increased,unit,
Astra Militarum,Cyclops Demolition Vehicle,3rd+,1,30,45,15,increased,unit,
Astra Militarum,Death Korps Of Krieg,standard,10,65,75,10,increased,unit,
Astra Militarum,Death Korps Of Krieg,standard,20,145,145,0,unchanged,unit,
Astra Militarum,Death Riders,standard,5,60,60,0,unchanged,unit,
Astra Militarum,Death Riders,standard,10,120,110,-10,decreased,unit,
Astra Militarum,Deathstrike,1st-2nd,1,145,125,-20,decreased,unit,
Astra Militarum,Deathstrike,3rd+,1,155,135,-20,decreased,unit,
Astra Militarum,Doomhammer,1st-2nd,1,415,415,0,unchanged,unit,
Astra Militarum,Doomhammer,3rd+,1,435,435,0,unchanged,unit,
Astra Militarum,Field Ordnance Battery,standard,2,110,90,-20,decreased,unit,
Astra Militarum,Field Ordnance Battery with Bombast field gun,,,,10,,,wargear,per Bombast field gun
Astra Militarum,Gaunt'S Ghosts,standard,6,100,95,-5,decreased,unit,
Astra Militarum,Hellhammer,1st-2nd,1,420,420,0,unchanged,unit,
Astra Militarum,Hellhammer,3rd+,1,440,440,0,unchanged,unit,
Astra Militarum,Hellhound,1st-2nd,1,125,125,0,unchanged,unit,
Astra Militarum,Hellhound,3rd+,1,135,135,0,unchanged,unit,
